"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark","Type","State"
"gene_nDE_134",0.933693617888806,0.982075735288673,2.35270853132352,2.23161164529824,12784.1811152349,16879.8957404477,0.999816001070834,0.999867812178006,0.132,0.038,3.47368421052632,0.156,0.04,3.9,14.1019903857417,0.00127893605436691,0.503392190310865,0.0444529923144998,0.837035851330857,0.0027695626294767,1,NA,NA,NA
"gene_nDE_378",0.921833628449597,0.962649548986504,1.45842759534241,3.31990636322091,0.793264866402054,18113.5209842555,0.352297163080382,0.999816750261082,0.102,0.114,0.894736842105263,0.114,0.124,0.919354838709677,9.62340178233427,0.00644617525518709,0.00930891830910618,0.0738596660998426,0.363047814055141,0.0220541694791121,1,NA,NA,NA
"gene_nDE_79",0.984471338389945,3.21014412312085e-14,2.31829425836898,0.00199999966634598,17482.1798799267,17913.9243841901,0.99986740859044,0.999999888355036,0.034,0.002,17,0.036,0.002,18,7.66927633353977,0.594231872398344,0.0689151236450434,0.626352514149605,0.768477296463037,0.0533648840661851,1,NA,NA,NA
"gene_nDE_216",0.935815057415866,0.888609576125798,2.80439567460551,2.28026801681856,51.1908608117341,12193.6954140539,0.94806218440105,0.999813031111552,0.136,0.232,0.586206896551724,0.18,0.254,0.708661417322835,7.37720015022546,3.85497368471377e-08,0.219951034795193,1.65378371074221e-05,0.768477296463037,0.0607990910635822,1,NA,NA,NA
"gene_nDE_108",0.98170933221682,0.997959544558632,2.07758129749991,3.9206906539539,11028.4031708431,17612.8173497105,0.999811650884111,0.99977744514081,0.03,0.008,3.75,0.038,0.008,4.75,7.24548451455573,0.0684078261197053,0.0491442841092543,0.224022575613386,0.663770311175488,0.0644716069878722,1,NA,NA,NA
"gene_nDE_70",0.96668807492004,0.949504331145119,2.76177792679957,1.78233107937291,2.39144625201985,13236.0053965588,0.464067963867957,0.999865360352043,0.07,0.074,0.945945945945946,0.092,0.09,1.02222222222222,7.03671250078969,0.0430665141638191,0.0615276125289687,0.177649370925754,0.754152736426502,0.0707367803566312,1,NA,NA,NA
"gene_nDE_291",1,0.98744998936082,0,1.59362436261982,1,15953.8651720904,1,0.99990012043007,0,0.018,0,0,0.02,0,6.95668840262293,0.123839760320658,0.986853489718057,0.282838834761229,0.999997971807154,0.0732911479344809,1,NA,NA,NA
"gene_nDE_195",1,0.98894892199614,0,2.3527116443678,1,12934.5271527019,1,0.999818139175053,0,0.018,0,0,0.026,0,6.95653221808391,0.130322841210156,0.980614514977701,0.286184617961956,0.999997971807154,0.0732962194552548,1,NA,NA,NA
"gene_nDE_373",1,0.989501914084804,0,3.04817230651659,1,14766.2015316728,1,0.999793613598009,0,0.03,0,0,0.032,0,6.95651598507293,0.157365403090388,0.982107617943422,0.302521067794269,0.999997971807154,0.0732967465822769,1,NA,NA,NA
"gene_nDE_469",0.88890119498278,0.902684174349362,2.50227711109964,1.72633495144266,13246.4909376842,19041.2695126926,0.999811134546563,0.999909345411549,0.232,0.156,1.48717948717949,0.278,0.168,1.6547619047619,6.57292014813356,0.0272033467728724,0.0315333702756337,0.142319948360515,0.592815706669217,0.0868306505332047,1,NA,NA,NA
"gene_nDE_209",0.983128951840498,0.977586162070868,2.96365699469644,0.803075308669721,16191.3720503565,8.29556774710758,0.999816994222656,0.911736804735977,0.042,0.018,2.33333333333333,0.05,0.018,2.77777777777778,6.27640427841919,0.249966034993376,0.031782660264317,0.378923777428121,0.592815706669217,0.0989101716097393,1,NA,NA,NA
"gene_nDE_19",0.92033748886211,0.933746196534965,1.50635472389341,2.47533774748358,18509.5703877526,25.0021024491727,0.999918624143541,0.90991381548763,0.108,0.144,0.75,0.12,0.164,0.731707317073171,6.11644390319259,0.00641880751000357,0.0454099403684346,0.0738596660998426,0.663770311175488,0.10608038407238,1,NA,NA,NA
"gene_nDE_475",0.989367119523889,3.21014412312085e-14,2.82143306752986,0.00199999966634598,15171.1502313251,17913.9243841901,0.99981406100328,0.999999888355036,0.024,0.002,12,0.03,0.002,15,6.05034391469749,0.191198879460028,0.0928794766475496,0.329414936901012,0.768477296463037,0.109186409089435,1,NA,NA,NA
"gene_nDE_372",0.985660900773435,3.21014412312085e-14,1.81322407075238,0.00199999966634598,10273.9708942555,17913.9243841901,0.999823543969991,0.999999888355036,0.02,0.002,10,0.026,0.002,13,5.91901648255151,0.14789006284559,0.29826807625227,0.296471200751207,0.789641615931417,0.115617415868387,1,NA,NA,NA
"gene_nDE_351",0.983168108553054,0.993915137831015,1.78233009887406,4.27292371588046,10564.1150780132,12316.8248725294,0.999831312946735,0.999653202678321,0.024,0.02,1.2,0.03,0.026,1.15384615384615,5.77893760339657,0.0124845535355977,0.00694763419983735,0.10501712679944,0.338585548709547,0.122874953091261,1,NA,NA,NA
"gene_nDE_276",7.50335698874037e-12,0.988618201434797,0.00399999999906802,2.10863004155857,12774.2396445521,13841.0378305627,0.999999686869915,0.999847676967981,0.004,0.024,0.166666666666667,0.004,0.024,0.166666666666667,5.52449079687069,0.239981037701237,0.0754154094546813,0.370910828333181,0.768477296463037,0.137181112515113,1,NA,NA,NA
"gene_nDE_105",0.975796248394001,0.992469994102194,2.39631258414136,1.593624252295,12742.2482615924,18663.2512971822,0.999811974938164,0.999914618939562,0.05,0.012,4.16666666666667,0.058,0.012,4.83333333333333,5.5018613563754,0.0602336821186309,0.498692144896937,0.2100833303162,0.832447199069207,0.138527330039589,1,NA,NA,NA
"gene_nDE_212",0.991308488797455,0.969898694872625,2.5312011994375,1.99326934932393,13021.3036779983,17454.2627340465,0.999805648549531,0.999885813467164,0.018,0.06,0.3,0.022,0.06,0.366666666666667,5.43012418471145,0.00502431694582395,0.109776459182191,0.0738596660998426,0.768477296463037,0.142878214756592,1,NA,NA,NA
"gene_nDE_247",0.986273428997169,0.977897843876887,0.874217212442088,2.35271164715536,10116.8570614944,16868.6475689373,0.999913595529634,0.999860546997331,0.01,0.04,0.25,0.012,0.052,0.230769230769231,5.39984536380129,0.333395139535116,0.19641118876348,0.433413681395651,0.768477296463037,0.144753214081441,1,NA,NA,NA
"gene_nDE_39",0.959204659948935,0.927609553753734,2.01003324844539,2.15498052352186,7.96413830199426,11791.2474448312,0.798476170348525,0.99981727236587,0.07,0.136,0.514705882352941,0.082,0.156,0.525641025641026,5.23860107162841,0.0531168334154101,0.685075991387949,0.198148882914878,0.900151679898393,0.155136459292867,1,NA,NA,NA
"gene_nDE_95",0.925185552446477,0.935543159377427,2.13862442385414,1.36525462765197,17831.5019951755,10370.2833826727,0.999880079201467,0.999868366671935,0.148,0.086,1.72093023255814,0.16,0.088,1.81818181818182,5.09532799597343,0.00155430043057692,0.118102531718896,0.0444529923144998,0.768477296463037,0.164948373298996,1,NA,NA,NA
"gene_nDE_35",0.95726189660709,0.921743821904343,2.19944371461502,2.24902258736496,18506.8298336344,10378.9295659849,0.999881169148222,0.999783355755979,0.08,0.16,0.5,0.094,0.176,0.534090909090909,5.09423471075479,0.00663870595813909,0.512233687518314,0.0738596660998426,0.83873378605098,0.165025443875305,1,NA,NA,NA
"gene_nDE_104",0.993422362321313,0.975796243315358,2.43248419436356,2.39631259060915,12520.5876309945,12754.2615983748,0.999805758980502,0.999812152006636,0.016,0.048,0.333333333333333,0.016,0.058,0.275862068965517,4.92590775441172,0.00429112915529606,0.575584665437723,0.0738596660998426,0.859750951718355,0.177303636386159,1,NA,NA,NA
